Team One,Team Two,Percent
Chicago Bulls,Washington Wizards,48
Chicago Bulls,Houston Rockets,46
Chicago Bulls,Memphis Grizzlies,41
Chicago Bulls,Dallas Mavericks,36
Chicago Bulls,Portland Trail Blazers,29
Chicago Bulls,Detroit Pistons,23
Chicago Bulls,Indiana Pacers,19
Chicago Bulls,Miami Heat,16
Chicago Bulls,Charlotte Hornets,17
Chicago Bulls,Boston Celtics,24
Chicago Bulls,Atlanta Hawks,32
Chicago Bulls,Los Angeles Clippers,39
Chicago Bulls,Oklahoma City Thunder,44
Chicago Bulls,Toronto Raptors,48
Chicago Bulls,Cleveland Cavaliers,50
Chicago Bulls,San Antonio Spurs,50
Chicago Bulls,Golden State Warriors,49
Memphis Grizzlies,Philadelphia 76ers,99
Memphis Grizzlies,Los Angeles Lakers,69
Memphis Grizzlies,Brooklyn Nets,61
Memphis Grizzlies,Phoenix Suns,59
Memphis Grizzlies,Minnesota Timberwolves,58
Memphis Grizzlies,New Orleans Pelicans,56
Memphis Grizzlies,New York Knicks,53
Memphis Grizzlies,Sacramento Kings,49
Memphis Grizzlies,Milwaukee Bucks,44
Memphis Grizzlies,Denver Nuggets,40
Memphis Grizzlies,Orlando Magic,41
Memphis Grizzlies,Utah Jazz,46
Memphis Grizzlies,Washington Wizards,48
Memphis Grizzlies,Houston Rockets,47
Memphis Grizzlies,Chicago Bulls,45
Memphis Grizzlies,Dallas Mavericks,41
Memphis Grizzlies,Portland Trail Blazers,37
Memphis Grizzlies,Detroit Pistons,30
Memphis Grizzlies,Indiana Pacers,24
Memphis Grizzlies,Miami Heat,20
Memphis Grizzlies,Charlotte Hornets,16
Memphis Grizzlies,Boston Celtics,15
Memphis Grizzlies,Atlanta Hawks,19
Memphis Grizzlies,Los Angeles Clippers,27
Memphis Grizzlies,Oklahoma City Thunder,35
Memphis Grizzlies,Toronto Raptors,42
Memphis Grizzlies,Cleveland Cavaliers,46
Memphis Grizzlies,San Antonio Spurs,49
Memphis Grizzlies,Golden State Warriors,51
Dallas Mavericks,Philadelphia 76ers,99
Dallas Mavericks,Los Angeles Lakers,69
Dallas Mavericks,Brooklyn Nets,61
Dallas Mavericks,Phoenix Suns,60
Dallas Mavericks,Minnesota Timberwolves,59
Dallas Mavericks,New Orleans Pelicans,58
Dallas Mavericks,New York Knicks,56
Dallas Mavericks,Sacramento Kings,52
Dallas Mavericks,Milwaukee Bucks,47
Dallas Mavericks,Denver Nuggets,42
Dallas Mavericks,Orlando Magic,39
Dallas Mavericks,Utah Jazz,42
Dallas Mavericks,Washington Wizards,47
Dallas Mavericks,Houston Rockets,48
Dallas Mavericks,Chicago Bulls,47
Dallas Mavericks,Memphis Grizzlies,45
Dallas Mavericks,Portland Trail Blazers,41
Dallas Mavericks,Detroit Pistons,37
Dallas Mavericks,Indiana Pacers,31
Dallas Mavericks,Miami Heat,25
Dallas Mavericks,Charlotte Hornets,20
Dallas Mavericks,Boston Celtics,16
Dallas Mavericks,Atlanta Hawks,14
Dallas Mavericks,Los Angeles Clippers,15
Dallas Mavericks,Oklahoma City Thunder,22
Dallas Mavericks,Toronto Raptors,31
Dallas Mavericks,Cleveland Cavaliers,38
Dallas Mavericks,San Antonio Spurs,44
Dallas Mavericks,Golden State Warriors,47
Portland Trail Blazers,Philadelphia 76ers,99
Portland Trail Blazers,Los Angeles Lakers,70
Portland Trail Blazers,Brooklyn Nets,62
Portland Trail Blazers,Phoenix Suns,60
Portland Trail Blazers,Minnesota Timberwolves,60
Portland Trail Blazers,New Orleans Pelicans,59
Portland Trail Blazers,New York Knicks,58
Portland Trail Blazers,Sacramento Kings,55
Portland Trail Blazers,Milwaukee Bucks,51
Portland Trail Blazers,Denver Nuggets,45
Portland Trail Blazers,Orlando Magic,41
Portland Trail Blazers,Utah Jazz,39
Portland Trail Blazers,Washington Wizards,44
Portland Trail Blazers,Houston Rockets,48
Portland Trail Blazers,Chicago Bulls,48
Portland Trail Blazers,Memphis Grizzlies,46
Portland Trail Blazers,Dallas Mavericks,45
Portland Trail Blazers,Detroit Pistons,41
Portland Trail Blazers,Indiana Pacers,38
Portland Trail Blazers,Miami Heat,32
Portland Trail Blazers,Charlotte Hornets,26
