Orlando Magic,Los Angeles Clippers,24
Orlando Magic,Oklahoma City Thunder,21
Orlando Magic,Toronto Raptors,19
Orlando Magic,Cleveland Cavaliers,16
Orlando Magic,San Antonio Spurs,14
Orlando Magic,Golden State Warriors,12
Utah Jazz,Philadelphia 76ers,80
Utah Jazz,Los Angeles Lakers,83
Utah Jazz,Brooklyn Nets,85
Utah Jazz,Phoenix Suns,81
Utah Jazz,Minnesota Timberwolves,75
Utah Jazz,New Orleans Pelicans,69
Utah Jazz,New York Knicks,64
Utah Jazz,Sacramento Kings,61
Utah Jazz,Milwaukee Bucks,59
Utah Jazz,Denver Nuggets,58
Utah Jazz,Orlando Magic,55
Utah Jazz,Washington Wizards,46
Utah Jazz,Houston Rockets,41
Utah Jazz,Chicago Bulls,38
Utah Jazz,Memphis Grizzlies,36
Utah Jazz,Dallas Mavericks,34
Utah Jazz,Portland Trail Blazers,33
Utah Jazz,Detroit Pistons,33
Utah Jazz,Indiana Pacers,33
Utah Jazz,Miami Heat,32
Utah Jazz,Charlotte Hornets,32
Utah Jazz,Boston Celtics,31
Utah Jazz,Atlanta Hawks,30
Utah Jazz,Los Angeles Clippers,29
Utah Jazz,Oklahoma City Thunder,27
Utah Jazz,Toronto Raptors,25
Utah Jazz,Cleveland Cavaliers,22
Utah Jazz,San Antonio Spurs,20
Utah Jazz,Golden State Warriors,18
Washington Wizards,Philadelphia 76ers,81
Washington Wizards,Los Angeles Lakers,84
Washington Wizards,Brooklyn Nets,86
Washington Wizards,Phoenix Suns,84
Washington Wizards,Minnesota Timberwolves,78
Washington Wizards,New Orleans Pelicans,71
Washington Wizards,New York Knicks,66
Washington Wizards,Sacramento Kings,62
Washington Wizards,Milwaukee Bucks,59
Washington Wizards,Denver Nuggets,58
Washington Wizards,Orlando Magic,58
Washington Wizards,Utah Jazz,55
Washington Wizards,Houston Rockets,45
Washington Wizards,Chicago Bulls,41
Washington Wizards,Memphis Grizzlies,38
Washington Wizards,Dallas Mavericks,36
Washington Wizards,Portland Trail Blazers,35
Washington Wizards,Detroit Pistons,34
Washington Wizards,Indiana Pacers,33
Washington Wizards,Miami Heat,33
Washington Wizards,Charlotte Hornets,33
Washington Wizards,Boston Celtics,33
Washington Wizards,Atlanta Hawks,33
Washington Wizards,Los Angeles Clippers,32
Washington Wizards,Oklahoma City Thunder,31
Washington Wizards,Toronto Raptors,29
Washington Wizards,Cleveland Cavaliers,28
Washington Wizards,San Antonio Spurs,26
Washington Wizards,Golden State Warriors,24
Houston Rockets,Philadelphia 76ers,82
Houston Rockets,Los Angeles Lakers,85
Houston Rockets,Brooklyn Nets,88
Houston Rockets,Phoenix Suns,87
Houston Rockets,Minnesota Timberwolves,81
Houston Rockets,New Orleans Pelicans,74
Houston Rockets,New York Knicks,68
Houston Rockets,Sacramento Kings,63
Houston Rockets,Milwaukee Bucks,59
Houston Rockets,Denver Nuggets,57
Houston Rockets,Orlando Magic,58
Houston Rockets,Utah Jazz,58
Houston Rockets,Washington Wizards,56
Houston Rockets,Chicago Bulls,45
Houston Rockets,Memphis Grizzlies,41
Houston Rockets,Dallas Mavericks,38
Houston Rockets,Portland Trail Blazers,36
Houston Rockets,Detroit Pistons,35
Houston Rockets,Indiana Pacers,34
Houston Rockets,Miami Heat,34
Houston Rockets,Charlotte Hornets,33
Houston Rockets,Boston Celtics,33
Houston Rockets,Atlanta Hawks,33
Houston Rockets,Los Angeles Clippers,34
Houston Rockets,Oklahoma City Thunder,33
Houston Rockets,Toronto Raptors,33
